"Add New Field","הוסף שדה חדש"
"Save Field","שמור שדה"
"Delete Field","מחק שדה"
"Edit Field '%1'","ערוך שדה '%1'"
"New Field","שדה חדש"
"Advanced Field Properties","מאפייני שדה מתקדמים"
"Use values greater than 1","השתמש בערכים העולים על 1"
"Field Properties","מאפייני שדה"
"Field Information","מידע בשדה"
"Checkout field was deleted.","שדה התשלום נמחק."
"Can't find a field to delete.","לא ניתן למצוא שדה למחוק."
"Edit Field","ערוך שדה"
"This field no longer exists.","שדה זה כבר לא קיים."
"Manage Fields","נהל שדות"
"You saved the checkout field.","שמרת את שדה התשלום."
"An field with this code already exists.","שדה עם קוד זה כבר קיים."
"An field with the same code (%1) already exists.","שדה עם אותו קוד (% 1) כבר קיים."
"Please fill all required fields before placing the order.","אנא מלא את כל השדות הנדרשים לפני ביצוע ההזמנה."
"Additional Information","מידע נוסף"
"No additional information found.","לא נמצא מידע נוסף."
"Field Code","קוד שדה"
