"Save Field","필드 저장"
"Delete Field","필드 삭제"
"Edit Field '%1'","필드 '%1'편집"
"New Field","새로운 분야"
"Advanced Field Properties","고급 필드 속성"
"Show on Storefront","상점 첫 화면에 표시"
"Show In Forms","양식에 표시"
"Field Properties","필드 속성"
"Field Information","필드 정보"
"You cannot delete this field.","이 필드는 삭제할 수 없습니다."
"Field was deleted.","필드가 삭제되었습니다."
"Can't find a field to delete.","삭제할 필드를 찾을 수 없습니다."
"This field no longer exists.","이 필드는 더 이상 존재하지 않습니다."
"You cannot edit this attribute.","이 속성은 편집 할 수 없습니다."
"You saved the field.","필드를 저장했습니다."
"An field with this code already exists.","이 코드를 가진 필드가 이미 존재합니다."
"An field with the same code (%1) already exists.","동일한 코드 (%1)의 필드가 이미 존재합니다."
"Customer Address Registration","고객 주소 등록"
"Customer Account Address","고객 계정 주소"
"Customer Registration","고객 등록"
"Customer Account Edit","고객 계정 편집"
"Admin Checkout","관리자 체크 아웃"
"Name must be required.","이름이 필요합니다."
"Country must be visible to keep Magento working.","마 젠토가 계속 작동하려면 국가가 보여야합니다."
"Use ""Stores > Configuration > General > State"" to change region field status","""Stores> Configuration> General> State""를 사용하여 리전 필드 상태를 변경하십시오."
"Use ""Stores > Configuration > General > Country Options"" to change postcode status","""상점> 구성> 일반> 국가 옵션""을 사용하여 우편 번호 상태를 변경하십시오."
"Email must be required.","이메일이 필요합니다."
"Website_id must be required.","Website_id가 필요합니다."
"Group_id must be required.","Group_id가 필요합니다."
"Remove website overrides","웹 사이트 재정의 제거"
