"Url Path",URL-путь
"After Adding a Product Redirect to Firecheckout","После добавления продукта перенаправить в Firecheckout"
"Page Layout","Макет страницы"
"Form Styles","Стили формы"
"Use field placeholders instead of labels","Используйте заполнители полей вместо меток"
"Show field errors and notices in the Tooltips","Показывать ошибки и уведомления во всплывающих подсказках"
"Additional Content","Дополнительный контент"
"Above Firecheckout Form","Над формой Firecheckout"
"Below Firecheckout Form","Под формой Firecheckout"
"Below order summary (Above place order button)","Под сводкой заказа (Над кнопкой заказа)"
"Below place order button","Под кнопкой размещения заказа"
"Intro Popup","Intro Popup"
"Content for Guest Customers","Контент для гостевых клиентов"
"Content for Registered Customers","Контент для зарегистрированных клиентов"
"Default Method","Метод по умолчанию"
"Default Method Code","Код метода по умолчанию"
"Use this field if you can't find the method you are looking for in the previous option","Используйте это поле, если вы не можете найти метод, который вы ищете в предыдущем варианте"
"Hide methods if single method is available only","Скрыть методы, если доступен только один метод"
"Payment Settings","Настройки оплаты"
"Show Billing Address Title","Показать название платежного адреса"
"This option is not used when Billing Address displayed inside Payment Method","Эта опция не используется, когда платежный адрес отображается внутри способа оплаты"
"Horizontal (Label aside of the field)","Горизонтальный (метка в стороне от поля)"
"Basic (Same as horizontal, except label above the field)","Основной (такой же, как горизонтальный, за исключением метки над полем)"
"Compact (Multiple fields per row)","Компактный (несколько полей в строке)"
"1 Column (Multistep Wizard)","1 колонка (многошаговый мастер)"
"1 Column (Expanded)","1 колонка (одностраничный)"
"2 Columns (Wide Payment and Shipping sections)","2 колонки (широкие разделы оплаты и доставки)"
"2 Columns (Place Payment and Shipping sections side by side)","2 столбца (разделы «Оплата» и «Доставка» расположены рядом)"
"3 Columns","3 колонки"
"Default Checkout Layout","Макет оформления заказа по умолчанию"
"Empty (No Header and Footer)","Пустой (без хедера и футера)"
"Minimal (Header with store Logo only)","Минимальный (только заголовок с логотипом магазина)"
Full,Полный
"Back to Store","Вернуться в магазин"
"Continue Shopping","Продолжить покупки"
"Firecheckout Page Header Container","Контейнер заголовка страницы Firecheckout"
"Firecheckout Page Header","Заголовок страницы Firecheckout"
"Please specify a shipping method.","Пожалуйста, укажите способ доставки."
"Please specify a payment method.","Пожалуйста, укажите способ оплаты."
Cart,Корзина
"Use Magento Config (Sales > Checkout > Checkout Options)","Используйте Magento Config (Продажи > Оформить заказ > Оформить заказ)"
"Payment Page (Above Payment Methods)","Страница оплаты (Над способами оплаты)"
"Shipping Page (Below Shipping Address)","Страница доставки (Под адресом доставки)"
"Some third-party modules may not work correctly with custom address position. In this case, select 'Use Magento Config' option please.","Некоторые сторонние модули могут некорректно работать с пользовательским значением. В этом случае выберите опцию «Использовать конфигурацию Magento»."
"Order Summary Settings","Настройки сводки заказа"
"Show Order Review (Shipping Information)","Показать обзор заказа (информация о доставке)"
"Useful for EU countries","Полезно для стран ЕС"
"Leave empty to add review without the title","Оставьте пустым, чтобы добавить отзыв без заголовка"
"Custom CSS and JS","Пользовательские CSS и JS"
"Use less syntax and variables to change styles!<br/>See the list of available variables: <a href=""http://docs.swissuplabs.com/m2/extensions/firecheckout/customization/less-variables/"" title=""Firecheckout Docs"">http://docs.swissuplabs.com/m2/extensions/firecheckout/customization/less-variables/</a><br/>You must run `setup:static-content:deploy` command to see the changes.","Используйте синтаксис LESS и переменные для изменения стилей!<br/>Список доступных переменных: <a href=""http://docs.swissuplabs.com/m2/extensions/firecheckout/customization/less-variables/"" title=""Документация по Firecheckout"">http://docs.swissuplabs.com/m2/extensions/firecheckout/customization/less-variables/</a><br/>Вы должны выполнить команду `setup:static-content:deploy`, чтобы увидеть изменения."
Performance,Производительность
"Use jsBuild","Используйте jsBuild"
"Combine js files into single jsbuild to reduce number of requests and improve page load time.","Объедините js-файлы в один jsbuild, чтобы уменьшить количество запросов и сократить время загрузки страницы."
"jsBuild include paths","jsBuild включает пути"
