"Url Path","Caminho do URL"
"After Adding a Product Redirect to Firecheckout","Depois de adicionar um redirecionamento de produto ao Firecheckout"
"Page Layout","Layout da página"
"Form Styles","Estilos de formulário"
"Use field placeholders instead of labels","Use espaços reservados de campo em vez de rótulos"
"Show field errors and notices in the Tooltips","Mostrar erros e avisos de campo nas dicas de ferramentas"
"Additional Content","Conteúdo adicional"
"Above Firecheckout Form","Acima do formulário de check-out do Firecheckout"
"Below Firecheckout Form","Abaixo do Formulário de Firecheckout"
"Below order summary (Above place order button)","Abaixo do resumo do pedido (botão de pedido acima do local)"
"Below place order button","Abaixo do botão de ordem do lugar"
"Intro Popup","Introdução Pop-up"
"Content for Guest Customers","Conteúdo para clientes convidados"
"Content for Registered Customers","Conteúdo para clientes registrados"
"Default Method","Método padrão"
"Default Method Code","Código do método padrão"
"Use this field if you can't find the method you are looking for in the previous option","Use este campo se você não encontrar o método que está procurando na opção anterior"
"Hide methods if single method is available only","Ocultar métodos se o único método estiver disponível apenas"
"Payment Settings","Configurações de pagamento"
"Show Billing Address Title","Mostrar título do endereço de cobrança"
"This option is not used when Billing Address displayed inside Payment Method","Esta opção não é usada quando o Endereço de cobrança é exibido dentro da Forma de pagamento"
"Horizontal (Label aside of the field)","Horizontal (Rótulo ao lado do campo)"
"Basic (Same as horizontal, except label above the field)","Básico (igual à horizontal, exceto o rótulo acima do campo)"
"Compact (Multiple fields per row)","Compacto (vários campos por linha)"
"1 Column (Multistep Wizard)","1 coluna (Assistente de várias etapas)"
"1 Column (Expanded)","1 coluna (expandida)"
"2 Columns (Wide Payment and Shipping sections)","2 colunas (seções ampla de pagamento e envio)"
"2 Columns (Place Payment and Shipping sections side by side)","2 colunas (seções Pagamento e Envio lado a lado)"
"3 Columns","3 Colunas"
"Default Checkout Layout","Layout de caixa padrão"
"Empty (No Header and Footer)","Vazio (sem cabeçalho e rodapé)"
"Minimal (Header with store Logo only)","Mínimo (cabeçalho com logotipo da loja apenas)"
Full,Cheio
"Back to Store","Voltar à loja"
"Continue Shopping","Continue comprando"
"Firecheckout Page Header Container","Contêiner de cabeçalho de página do Firecheckout"
"Firecheckout Page Header","Cabeçalho da página do Firecheckout"
"Please specify a shipping method.","Por favor, especifique um método de envio."
"Please specify a payment method.","Especifique um método de pagamento."
Cart,Carrinho
"Use Magento Config (Sales > Checkout > Checkout Options)","Use o Magento Config (Vendas> Finalização da compra> Opções de finalização da compra)"
"Payment Page (Above Payment Methods)","Página de pagamento (acima das formas de pagamento)"
"Shipping Page (Below Shipping Address)","Página de Remessa (Abaixo do Endereço de Remessa)"
"Some third-party modules may not work correctly with custom address position. In this case, select 'Use Magento Config' option please.","Alguns módulos de terceiros podem não funcionar corretamente com a posição do endereço personalizado. Nesse caso, selecione a opção 'Usar Magento Config'."
"Order Summary Settings","Configurações de resumo do pedido"
"Show Order Review (Shipping Information)","Mostrar Revisão do Pedido (Informações de Envio)"
"Useful for EU countries","Útil para países da UE"
"Leave empty to add review without the title","Deixe em branco para adicionar um comentário sem o título"
"Custom CSS and JS","CSS e JS personalizados"
"Use less syntax and variables to change styles!<br/>See the list of available variables: <a href=""http://docs.swissuplabs.com/m2/extensions/firecheckout/customization/less-variables/"" title=""Firecheckout Docs"">http://docs.swissuplabs.com/m2/extensions/firecheckout/customization/less-variables/</a><br/>You must run `setup:static-content:deploy` command to see the changes.","Use menos sintaxe e variáveis para alterar os estilos!<br/>Veja a lista de variáveis disponíveis: <a href=""http://docs.swissuplabs.com/m2/extensions/firecheckout/customization/less-variables/"" title=""Documentos do Firecheckout"">http://docs.swissuplabs.com/m2/extensions/firecheckout/customization/less-variables/</a><br/>Você deve executar o comando `setup:static-content:deploy` para ver o alterar."
Performance,atuação
"Use jsBuild","Use jsBuild"
"Combine js files into single jsbuild to reduce number of requests and improve page load time.","Combine arquivos js em um único jsbuild para reduzir o número de solicitações e melhorar o tempo de carregamento da página."
"jsBuild include paths","jsBuild inclui caminhos"
