"Save Field","שמור שדה"
"Delete Field","מחק שדה"
"Edit Field '%1'","ערוך שדה '%1'"
"New Field","שדה חדש"
"Advanced Field Properties","מאפייני שדה מתקדמים"
"Show on Storefront","מופע על Storefront"
"Show In Forms","הצג בטפסים"
"Field Properties","מאפייני שדה"
"Field Information","מידע בשדה"
"You cannot delete this field.","אינך יכול למחוק שדה זה."
"Field was deleted.","השדה נמחק."
"Can't find a field to delete.","לא ניתן למצוא שדה למחוק."
"This field no longer exists.","שדה זה כבר לא קיים."
"You cannot edit this attribute.","אינך יכול לערוך תכונה זו."
"You saved the field.","שמרת את השדה."
"An field with this code already exists.","שדה עם קוד זה כבר קיים."
"An field with the same code (%1) already exists.","שדה עם אותו קוד (%1) כבר קיים."
"Customer Address Registration","רישום כתובת לקוח"
"Customer Account Address","כתובת חשבון לקוח"
"Customer Registration","רישום לקוח"
"Customer Account Edit","עריכת חשבון לקוח"
"Admin Checkout","קופת מנהל מערכת"
"Name must be required.","יש לדרוש שם."
"Country must be visible to keep Magento working.","המדינה חייבת להיות גלויה כדי שמג'נטו תעבוד."
"Use ""Stores > Configuration > General > State"" to change region field status","השתמש ב ""חנויות> תצורה> כללי> מצב"" כדי לשנות את מצב שדה האזור"
"Use ""Stores > Configuration > General > Country Options"" to change postcode status","השתמש ב ""חנויות> תצורה> כללי> אפשרויות מדינה"" כדי לשנות את מצב המיקוד"
"Email must be required.","יש לדרוש דוא""ל."
"Website_id must be required.","יש להידרש לאתר_id."
"Group_id must be required.","Group_id חייב להידרש."
"Remove website overrides","הסר את עקיפות האתר"
