"Url Path",URL-pad
"After Adding a Product Redirect to Firecheckout","Na het toevoegen van een product doorverwijzen naar Firecheckout"
"Page Layout","Pagina layout"
"Form Styles",Vormstijlen
"Use field placeholders instead of labels","Gebruik plaatsaanduidingen in plaats van labels"
"Show field errors and notices in the Tooltips","Veldfouten en kennisgevingen weergeven in de knopinfo"
"Additional Content","Extra content"
"Above Firecheckout Form","Boven Firecheckout-formulier"
"Below Firecheckout Form","Hieronder het formulier Firecheckout"
"Below order summary (Above place order button)","Hieronder bestellingsoverzicht (knop Bestelling boven plaatsen)"
"Below place order button","Hieronder plaats bestelknop"
"Intro Popup","Intro Popup"
"Content for Guest Customers","Inhoud voor gastklanten"
"Content for Registered Customers","Inhoud voor geregistreerde klanten"
"Default Method","Standaard methode"
"Default Method Code","Standaard methode code"
"Use this field if you can't find the method you are looking for in the previous option","Gebruik dit veld als u de methode die u zoekt in de vorige optie niet kunt vinden"
"Hide methods if single method is available only","Methoden verbergen als een enkele methode alleen beschikbaar is"
"Payment Settings",Betalingsinstellingen
"Show Billing Address Title","Titel factuuradres weergeven"
"This option is not used when Billing Address displayed inside Payment Method","Deze optie wordt niet gebruikt wanneer het factuuradres wordt weergegeven in de betaalmethode"
"Horizontal (Label aside of the field)","Horizontaal (label naast het veld)"
"Basic (Same as horizontal, except label above the field)","Basic (hetzelfde als horizontaal, behalve label boven het veld)"
"Compact (Multiple fields per row)","Compact (meerdere velden per rij)"
"1 Column (Multistep Wizard)","1 kolom (Multistep Wizard)"
"1 Column (Expanded)","1 kolom (uitgebreid)"
"2 Columns (Wide Payment and Shipping sections)","2 kolommen (secties Brede betaling en Verzending)"
"2 Columns (Place Payment and Shipping sections side by side)","2 kolommen (secties Betaling en verzending naast elkaar plaatsen)"
"3 Columns","3 kolommen"
"Default Checkout Layout","Standaard afrekenlay-out"
"Empty (No Header and Footer)","Leeg (geen kop- en voettekst)"
"Minimal (Header with store Logo only)","Minimaal (alleen koptekst met winkellogo)"
Full,vol
"Back to Store","Terug naar winkel"
"Continue Shopping","Doorgaan met winkelen"
"Firecheckout Page Header Container","Koptekstcontainer voor firecheckout-pagina"
"Firecheckout Page Header","Paginakoptekst voor firecheckout"
"Please specify a shipping method.","Geef een verzendmethode op."
"Please specify a payment method.","Geef een betaalmethode op."
Cart,kar
"Use Magento Config (Sales > Checkout > Checkout Options)","Gebruik Magento Config (Verkoop> Afrekenen> Afrekenopties)"
"Payment Page (Above Payment Methods)","Betalingspagina (boven betaalmethoden)"
"Shipping Page (Below Shipping Address)","Verzendpagina (onder verzendadres)"
"Some third-party modules may not work correctly with custom address position. In this case, select 'Use Magento Config' option please.","Sommige modules van derden werken mogelijk niet correct met aangepaste adrespositie. Selecteer in dit geval de optie 'Magento Config gebruiken'."
"Order Summary Settings","Bestellingsoverzicht instellingen"
"Show Order Review (Shipping Information)","Orderoverzicht weergeven (verzendinformatie)"
"Useful for EU countries","Handig voor EU-landen"
"Leave empty to add review without the title","Laat leeg om een review toe te voegen zonder de titel"
"Custom CSS and JS","Aangepaste CSS en JS"
"Use less syntax and variables to change styles!<br/>See the list of available variables: <a href=""http://docs.swissuplabs.com/m2/extensions/firecheckout/customization/less-variables/"" title=""Firecheckout Docs"">http://docs.swissuplabs.com/m2/extensions/firecheckout/customization/less-variables/</a><br/>You must run `setup:static-content:deploy` command to see the changes.","Gebruik minder syntaxis en variabelen om stijlen te wijzigen!<br/>Zie de lijst met beschikbare variabelen: <a href=""http://docs.swissuplabs.com/m2/extensions/firecheckout/customization/less-variables/"" title=""Firecheckout Docs"">http://docs.swissuplabs.com/m2/extensions/firecheckout/customization/less-variables/</a><br/>Je moet de opdracht `setup:static-content:deploy` uitvoeren om de veranderingen."
Performance,Prestatie
"Use jsBuild","Gebruik jsBuild"
"Combine js files into single jsbuild to reduce number of requests and improve page load time.","Combineer js-bestanden in één jsbuild om het aantal aanvragen te verminderen en de laadtijd van de pagina te verbeteren."
"jsBuild include paths","jsBuild omvat paden"
