"Url Path","مسار url"
"After Adding a Product Redirect to Firecheckout","بعد إضافة إعادة توجيه المنتج إلى Firecheckout"
"Page Layout","تخطيط الصفحة"
"Form Styles","أنماط النموذج"
"Use field placeholders instead of labels","استخدم العناصر النائبة للحقل بدلاً من التصنيفات"
"Show field errors and notices in the Tooltips","إظهار أخطاء الحقول والإشعارات في تلميحات الأدوات"
"Additional Content","محتوى إضافي"
"Above Firecheckout Form","فوق نموذج Firecheckout"
"Below Firecheckout Form","أدناه نموذج Firecheckout"
"Below order summary (Above place order button)","ملخص الطلب أدناه (فوق زر ترتيب المكان)"
"Below place order button","تحت زر ترتيب المكان"
"Intro Popup","مقدمة منبثقة"
"Content for Guest Customers","المحتوى للعملاء الضيوف"
"Content for Registered Customers","محتوى للعملاء المسجلين"
"Default Method","الطريقة الافتراضية"
"Default Method Code","رمز الأسلوب الافتراضي"
"Use this field if you can't find the method you are looking for in the previous option","استخدم هذا الحقل إذا لم تتمكن من العثور على الطريقة التي تبحث عنها في الخيار السابق"
"Hide methods if single method is available only","إخفاء الأساليب في حالة توفر طريقة واحدة فقط"
"Payment Settings","إعدادات الدفع"
"Show Billing Address Title","إظهار عنوان عنوان الفواتير"
"This option is not used when Billing Address displayed inside Payment Method","لا يتم استخدام هذا الخيار عند عرض عنوان الفواتير داخل طريقة الدفع"
"Horizontal (Label aside of the field)","أفقي (التسمية جانباً الحقل)"
"Basic (Same as horizontal, except label above the field)","أساسي (مثل الأفقي ، باستثناء التسمية أعلى الحقل)"
"Compact (Multiple fields per row)","مضغوط (حقول متعددة في كل صف)"
"1 Column (Multistep Wizard)","1 عمود (معالج متعدد الخطوات)"
"1 Column (Expanded)","1 عمود (موسع)"
"2 Columns (Wide Payment and Shipping sections)","2 أعمدة (أقسام الدفع على نطاق واسع والشحن)"
"2 Columns (Place Payment and Shipping sections side by side)","2 أعمدة (أقسام مكان الدفع والشحن جنبا إلى جنب)"
"3 Columns","3 أعمدة"
"Default Checkout Layout","تخطيط الخروج الافتراضي"
"Empty (No Header and Footer)","فارغ (بدون رأس وتذييل)"
"Minimal (Header with store Logo only)","الحد الأدنى (رأس مع شعار المتجر فقط)"
Full,ممتلئ
"Back to Store","عودة للمخزن"
"Continue Shopping","مواصلة التسوق"
"Firecheckout Page Header Container","Firecheckout صفحة رأس الحاوية"
"Firecheckout Page Header","Firecheckout رأس الصفحة"
"Please specify a shipping method.","يرجى تحديد طريقة الشحن."
"Please specify a payment method.","يرجى تحديد طريقة الدفع."
Cart,"عربة التسوق"
"Use Magento Config (Sales > Checkout > Checkout Options)","استخدم Magento Config (Sales> Checkout> Checkout Options)"
"Payment Page (Above Payment Methods)","صفحة الدفع (فوق طرق الدفع)"
"Shipping Page (Below Shipping Address)","صفحة الشحن (أدناه عنوان الشحن)"
"Some third-party modules may not work correctly with custom address position. In this case, select 'Use Magento Config' option please.","قد لا تعمل بعض الوحدات التابعة لجهات أخرى بشكل صحيح مع موضع العنوان المخصص. في هذه الحالة ، حدد خيار ""استخدام Magento Config"" من فضلك."
"Order Summary Settings","ترتيب ملخص الإعدادات"
"Show Order Review (Shipping Information)","عرض مراجعة الطلب (معلومات الشحن)"
"Useful for EU countries","مفيدة لدول الاتحاد الأوروبي"
"Leave empty to add review without the title","اتركه فارغًا لإضافة مراجعة دون العنوان"
"Custom CSS and JS","عرف CSS و JS"
"Use less syntax and variables to change styles!<br/>See the list of available variables: <a href=""http://docs.swissuplabs.com/m2/extensions/firecheckout/customization/less-variables/"" title=""Firecheckout Docs"">http://docs.swissuplabs.com/m2/extensions/firecheckout/customization/less-variables/</a><br/>You must run `setup:static-content:deploy` command to see the changes.","استخدم بناء جملة ومتغيرات أقل لتغيير الأنماط!<br/>اطلع على قائمة المتغيرات المتاحة: <a href=""http://docs.swissuplabs.com/m2/extensions/firecheckout/customization/less-variables/"" title=""مستندات Firecheckout"">http://docs.swissuplabs.com/m2/extensions/firecheckout/customization/less-variables/</a><br/>يجب تشغيل الأمر `setup:static-content:deploy` للاطلاع على الأمر يتغير."
Performance,أداء
"Use jsBuild","استخدم jsBuild"
"Combine js files into single jsbuild to reduce number of requests and improve page load time.","قم بدمج ملفات js في jsbuild واحد لتقليل عدد الطلبات وتحسين وقت تحميل الصفحة."
"jsBuild include paths","jsBuild تشمل المسارات"
