"Save Field","Сохранить поле"
"Delete Field","Удалить поле"
"Edit Field '%1'","Редактировать поле ""%1"""
"New Field","Новое поле"
"Advanced Field Properties","Расширенные свойства поля"
"Show on Storefront","Показывать на фронтенде"
"Show In Forms","Показать в формах"
"Field Properties","Свойства поля"
"Field Information","Информация о поле"
"You cannot delete this field.","Вы не можете удалить это поле."
"Field was deleted.","Поле было удалено"
"Can't find a field to delete.","Не могу найти поле для удаления."
"This field no longer exists.","Это поле больше не существует."
"You cannot edit this attribute.","Вы не можете редактировать этот атрибут."
"You saved the field.","Вы сохранили поле."
"An field with this code already exists.","Поле с этим кодом уже существует."
"An field with the same code (%1) already exists.","Поле с таким же кодом (%1) уже существует."
"Customer Address Registration","Регистрация адреса клиента"
"Customer Account Address","Адрес клиента"
"Customer Registration","Регистрация клиента"
"Customer Account Edit","Редактирование учетной записи клиента"
"Admin Checkout","Заказ через админ-панель"
"Name must be required.","Имя должно быть обязательным."
"Country must be visible to keep Magento working.","Страна должна быть видимая."
"Use ""Stores > Configuration > General > State"" to change region field status","Используйте «Магазины > Конфигурация > Общие > Регион», чтобы изменить статус поля региона"
"Use ""Stores > Configuration > General > Country Options"" to change postcode status","Используйте «Магазины > Конфигурация > Общие > Опции страны», чтобы изменить статус почтового индекса"
"Email must be required.","Адрес электронной почты должен быть обязательным."
"Website_id must be required.","Website_id должен быть обязательным."
"Group_id must be required.","Group_id должен быть обязательным."
"Remove website overrides","Удалить изменения на уровне веб-сайтов"
