"Add New Field","Nieuw veld toevoegen"
"Save Field","Veld opslaan"
"Delete Field","Veld verwijderen"
"Edit Field '%1'","Veld %1 bewerken"
"New Field","Nieuw veld"
"Advanced Field Properties","Geavanceerde veldeigenschappen"
"Use values greater than 1","Gebruik waarden groter dan 1"
"Field Properties",Veldeigenschappen
"Field Information",Veldinformatie
"Checkout field was deleted.","Checkout-veld is verwijderd."
"Can't find a field to delete.","Kan geen veld vinden om te verwijderen."
"Edit Field","Veld bewerken"
"This field no longer exists.","Dit veld bestaat niet meer."
"Manage Fields","Beheer velden"
"You saved the checkout field.","U heeft het betalingsveld opgeslagen."
"An field with this code already exists.","Er bestaat al een veld met deze code."
"An field with the same code (%1) already exists.","Er bestaat al een veld met dezelfde code (%1)."
"Please fill all required fields before placing the order.","Vul alle verplichte velden in voordat u de bestelling plaatst."
"Additional Information","Extra informatie"
"No additional information found.","Geen aanvullende informatie gevonden."
"Field Code",Veldcode
