"Save Field","Зберегти поле"
"Delete Field","Видалити поле"
"Edit Field '%1'","Hедагувати поле '%1'"
"New Field","Нове поле"
"Advanced Field Properties","Розширені властивості поля"
"Show on Storefront","Показувати на фронтенді"
"Show In Forms","Показувати у формах"
"Field Properties","Властивості поля"
"Field Information","Інформація про поле"
"You cannot delete this field.","Ви не можете видалити це поле."
"Field was deleted.","Поле було видалено."
"Can't find a field to delete.","Не вдається знайти поле для видалення."
"This field no longer exists.","Це поле більше не існує."
"You cannot edit this attribute.","Ви не можете редагувати цей атрибут."
"You saved the field.","Ви зберегли поле."
"An field with this code already exists.","Поле з цим кодом вже існує."
"An field with the same code (%1) already exists.","Поле з тим самим кодом (%1) вже існує."
"Customer Address Registration","Реєстрація адреси клієнта"
"Customer Account Address","Адреса клієнта"
"Customer Registration","Реєстрація клієнтів"
"Customer Account Edit","Редагування облікового запису клієнта"
"Admin Checkout","Замовлення через адмін-панель"
"Name must be required.","Потрібно вказати ім’я."
"Country must be visible to keep Magento working.","Країна повинна бути видимою."
"Use ""Stores > Configuration > General > State"" to change region field status","Використовуйте ""Магазини > Конфігурація > Загальне > Області"", щоб змінити стан поля регіону"
"Use ""Stores > Configuration > General > Country Options"" to change postcode status","Використовуйте ""Магазини > Конфігурація > Загальне > Параметри країни"", щоб змінити стан поштового індексу"
"Email must be required.","Потрібно вказати електронну пошту."
"Website_id must be required.","Потрібно обов’язково вказати веб-сайт."
"Group_id must be required.","Group_id повинен бути обов'язковим."
"Remove website overrides","Видалити зміни на рівні веб-сайтів"
