"Url Path","Chemin d'URL"
"After Adding a Product Redirect to Firecheckout","Après l'ajout d'une redirection de produit vers Firecheckout"
"Page Layout","Mise en page"
"Form Styles","Styles de formulaire"
"Use field placeholders instead of labels","Utilisez des espaces réservés de champ au lieu d'étiquettes"
"Show field errors and notices in the Tooltips","Afficher les erreurs de champ et les avis dans les info-bulles"
"Additional Content","Contenu additionnel"
"Above Firecheckout Form","Au-dessus du formulaire Firecheckout"
"Below Firecheckout Form","Sous le formulaire Firecheckout"
"Below order summary (Above place order button)","Récapitulatif de commande ci-dessous (bouton de commande ci-dessus)"
"Below place order button","Sous le bouton de commande"
"Intro Popup","Intro Popup"
"Content for Guest Customers","Contenu pour les clients invités"
"Content for Registered Customers","Contenu pour les clients enregistrés"
"Default Method","Méthode par défaut"
"Default Method Code","Code de méthode par défaut"
"Use this field if you can't find the method you are looking for in the previous option","Utilisez ce champ si vous ne trouvez pas la méthode que vous recherchez dans l'option précédente"
"Hide methods if single method is available only","Masquer les méthodes si une seule méthode est disponible uniquement"
"Payment Settings","Paramètres de paiement"
"Show Billing Address Title","Afficher le titre de l'adresse de facturation"
"This option is not used when Billing Address displayed inside Payment Method","Cette option n'est pas utilisée lorsque l'adresse de facturation s'affiche dans le mode de paiement"
"Horizontal (Label aside of the field)","Horizontal (étiquette à côté du champ)"
"Basic (Same as horizontal, except label above the field)","De base (identique à horizontal, sauf étiquette au-dessus du champ)"
"Compact (Multiple fields per row)","Compact (plusieurs champs par ligne)"
"1 Column (Multistep Wizard)","1 colonne (assistant à plusieurs étapes)"
"1 Column (Expanded)","1 colonne (développée)"
"2 Columns (Wide Payment and Shipping sections)","2 colonnes (larges sections de paiement et d'expédition)"
"2 Columns (Place Payment and Shipping sections side by side)","2 colonnes (placez les sections de paiement et d'expédition côte à côte)"
"3 Columns","3 colonnes"
"Default Checkout Layout","Disposition de paiement par défaut"
"Empty (No Header and Footer)","Vide (sans en-tête ni pied de page)"
"Minimal (Header with store Logo only)","Minimal (en-tête avec le logo du magasin uniquement)"
Full,Plein
"Back to Store","Retour au magasin"
"Continue Shopping","Continuer vos achats"
"Firecheckout Page Header Container","Conteneur d'en-tête de page Firecheckout"
"Firecheckout Page Header","En-tête de page Firecheckout"
"Please specify a shipping method.","Veuillez préciser une méthode de livraison."
"Please specify a payment method.","Veuillez spécifier un mode de paiement."
Cart,Chariot
"Use Magento Config (Sales > Checkout > Checkout Options)","Utilisez Magento Config (Ventes> Paiement> Options de paiement)"
"Payment Page (Above Payment Methods)","Page de paiement (méthodes de paiement ci-dessus)"
"Shipping Page (Below Shipping Address)","Page d'expédition (sous l'adresse d'expédition)"
"Some third-party modules may not work correctly with custom address position. In this case, select 'Use Magento Config' option please.","Certains modules tiers peuvent ne pas fonctionner correctement avec une position d'adresse personnalisée. Dans ce cas, sélectionnez l'option 'Use Magento Config' s'il vous plaît."
"Order Summary Settings","Paramètres du résumé de la commande"
"Show Order Review (Shipping Information)","Afficher la revue de la commande (informations d'expédition)"
"Useful for EU countries","Utile pour les pays de l'UE"
"Leave empty to add review without the title","Laisser vide pour ajouter un avis sans le titre"
"Custom CSS and JS","CSS et JS personnalisés"
"Use less syntax and variables to change styles!<br/>See the list of available variables: <a href=""http://docs.swissuplabs.com/m2/extensions/firecheckout/customization/less-variables/"" title=""Firecheckout Docs"">http://docs.swissuplabs.com/m2/extensions/firecheckout/customization/less-variables/</a><br/>You must run `setup:static-content:deploy` command to see the changes.","Utilisez moins de syntaxe et de variables pour changer de style!<br/>Consultez la liste des variables disponibles: <a href=""http://docs.swissuplabs.com/m2/extensions/firecheckout/customization/less-variables/"" title=""Firecheckout Docs"">http://docs.swissuplabs.com/m2/extensions/firecheckout/customization/less-variables/</a><br/>Vous devez exécuter la commande `setup:static-content:deploy` pour voir la changements."
Performance,Performance
"Use jsBuild","Utilisez jsBuild"
"Combine js files into single jsbuild to reduce number of requests and improve page load time.","Combinez des fichiers js en un seul jsbuild pour réduire le nombre de demandes et améliorer le temps de chargement des pages."
"jsBuild include paths","jsBuild inclut des chemins"
