"Save Field","Feld speichern"
"Delete Field","Feld löschen"
"Edit Field '%1'","Feld '%1' bearbeiten"
"New Field","Neues Feld"
"Advanced Field Properties","Erweiterte Feldeigenschaften"
"Show on Storefront","In Storefront anzeigen"
"Show In Forms","In Formularen anzeigen"
"Field Properties",Feldeigenschaften
"Field Information",Feldinformationen
"You cannot delete this field.","Sie können dieses Feld nicht löschen."
"Field was deleted.","Feld wurde gelöscht."
"Can't find a field to delete.","Es kann kein zu löschendes Feld gefunden werden."
"This field no longer exists.","Dieses Feld existiert nicht mehr."
"You cannot edit this attribute.","Sie können dieses Attribut nicht bearbeiten."
"You saved the field.","Sie haben das Feld gespeichert."
"An field with this code already exists.","Ein Feld mit diesem Code ist bereits vorhanden."
"An field with the same code (%1) already exists.","Ein Feld mit demselben Code (%1) ist bereits vorhanden."
"Customer Address Registration","Registrierung der Kundenadresse"
"Customer Account Address",Kundenkontoadresse
"Customer Registration",Kundenregistrierung
"Customer Account Edit","Kundenkonto bearbeiten"
"Admin Checkout","Admin Checkout"
"Name must be required.","Name muss angegeben werden"
"Country must be visible to keep Magento working.","Land muss sichtbar sein, damit Magento funktioniert."
"Use ""Stores > Configuration > General > State"" to change region field status","Verwenden Sie ""Stores> Configuration> General> State"", um den Status des Regionsfelds zu ändern"
"Use ""Stores > Configuration > General > Country Options"" to change postcode status","Verwenden Sie ""Stores> Configuration> General> Country Options"", um den Postleitzahlenstatus zu ändern"
"Email must be required.","E-Mail muss erforderlich sein."
"Website_id must be required.","Website_id muss angegeben werden."
"Group_id must be required.","Group_id muss erforderlich sein."
"Remove website overrides","Website-Überschreibungen entfernen"
