"Add New Field","Dodaj nowe pole"
"Save Field","Zapisz pole"
"Delete Field","Usuń pole"
"Edit Field '%1'","Edytuj pole „%1”"
"New Field","Nowe pole"
"Advanced Field Properties","Zaawansowane właściwości pola"
"Use values greater than 1","Użyj wartości większych niż 1"
"Field Properties","Właściwości pola"
"Field Information","Informacje o terenie"
"Checkout field was deleted.","Pole kasy zostało usunięte."
"Can't find a field to delete.","Nie można znaleźć pola do usunięcia."
"Edit Field","Edytuj pole"
"This field no longer exists.","To pole już nie istnieje."
"Manage Fields","Zarządzaj polami"
"You saved the checkout field.","Zapisałeś pole kasy."
"An field with this code already exists.","Pole z tym kodem już istnieje."
"An field with the same code (%1) already exists.","Pole z tym samym kodem (%1) już istnieje."
"Please fill all required fields before placing the order.","Proszę wypełnić wszystkie wymagane pola przed złożeniem zamówienia."
"Additional Information","Dodatkowe informacje"
"No additional information found.","Nie znaleziono dodatkowych informacji."
"Field Code","Kod pola"
