"Add New Field","Додати нове поле"
"Save Field","Зберегти поле"
"Delete Field","Видалити поле"
"Edit Field '%1'","Редагувати поле '%1'"
"New Field","Нове поле"
"Advanced Field Properties","Розширені властивості поля"
"Use values greater than 1","Використовуйте значення більше 1"
"Field Properties","Властивості поля"
"Field Information","Інформація про поле"
"Checkout field was deleted.","Поле для оформлення замовлення видалено."
"Can't find a field to delete.","Не вдається знайти поле для видалення."
"Edit Field","Редагувати поле"
"This field no longer exists.","Це поле більше не існує."
"Manage Fields","Управління полями"
"You saved the checkout field.","Ви зберегли поле оформлення замовлення."
"An field with this code already exists.","Поле з цим кодом вже існує."
"An field with the same code (%1) already exists.","Поле з тим самим кодом (%1) вже існує."
"Please fill all required fields before placing the order.","Будь ласка, заповніть усі обов'язкові поля перед оформленням замовлення."
"Additional Information","Додаткова інформація"
"No additional information found.","Додаткової інформації не знайдено."
"Field Code","Код поля"
